Agency Abbreviation,Bureau Name,Program Account/Fund,Public Law,Program Name (if different),Appropriated,Announced/Allocated,Obligated,Outlayed,State,Date,Funding Source,Disaster Number
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$5,414,521.61","$5,414,521.61","$857,798.53",AL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4362DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$2,558,898.30","$2,558,898.30","$766,825.92",IN,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4363DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$26,462.05","$26,462.05","$26,462.05",NC,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4364DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,211,553.96","$3,211,553.96","$436,962.20",HI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4365DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$7,629,533.87","$7,629,533.87","$702,963.12",HI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4366DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$732,672.87","$732,672.87","$254,898.01",ME,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4367DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$5,241,225.52","$5,241,225.52","$1,640,273.10",NJ,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4368DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$402,687.50","$402,687.50","$11,974.78",AK,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4369DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,$0.00,$0.00,$0.00,NH,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4370DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$30,184.75","$30,184.75",$106.07,NH,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4371DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$2,384,567.47","$2,384,567.47","$541,387.16",MA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4372DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$708,520.44","$708,520.44","$532,197.38",OK,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4373DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$367,069.75","$367,069.75","$308,331.00",MD,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4374DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$229,105.89","$229,105.89","$229,105.89",NE,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4375DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$570,481.50","$570,481.50","$538,076.24",MD,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4376DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,786,001.13","$1,786,001.13","$441,101.14",TX,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4377DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$162,949.00","$162,949.00","$11,274.43",WV,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4378DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,827,434.87","$1,827,434.87","$1,150,958.72",MA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4379DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$31,660.72","$31,660.72","$30,845.37",VT,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4380DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$2,936,735.65","$2,936,735.65","$412,641.03",MI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4381DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$22,252,391.24","$22,252,391.24","$3,946,416.60",CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4382DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$2,076,693.57","$2,076,693.57","$1,656,943.22",WI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4383DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,$0.00,$0.00,$0.00,CT,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4385DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,840,452.46","$3,840,452.46","$3,840,452.46",IA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4386DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$36,485.29","$36,485.29","$36,485.29",NE,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4387DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$72,505.22","$72,505.22","$53,783.50",MT,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4388DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,610,529.06","$3,610,529.06","$581,312.91",MN,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4390DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$821,332.90","$821,332.90","$821,332.90",IA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4392DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$102,358,330.32","$102,358,330.32","$16,436,453.83",NC,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4393DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$13,648,349.08","$13,648,349.08","$1,141,592.01",SC,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4394DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,679,574.00","$3,679,574.00","$294,275.32",HI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4395DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$22,044.75","$22,044.75",$0.00,CNMI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4396DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,105,664.25","$3,105,664.25","$395,007.50",NY,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4397DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,333,445.43","$1,333,445.43","$251,607.57",GU,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4398DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$89,668,824.35","$89,668,824.35","$21,258,031.42",FL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4399DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$13,728,191.50","$13,728,191.50","$1,487,414.89",GA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4400DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$5,163,978.65","$5,163,978.65","$2,261,635.98",VA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4401DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$11,458,242.67","$11,458,242.67","$7,446,947.53",WI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4402DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$602,356.25","$602,356.25","$602,356.25",KS,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4403DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$12,652,385.50","$12,652,385.50","$5,386,186.36",CNMI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4404DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$24,179.42","$24,179.42","$6,903.01",MT,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4405DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$761,439.67","$761,439.67","$487,027.03",AL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4406DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$119,898,576.91","$119,898,576.91","$35,152,677.88",CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4407DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$9,470,694.97","$9,470,694.97","$5,985,150.04",PA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4408DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$571,033.70","$571,033.70","$501,825.00",CT,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4410DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,696,291.77","$3,696,291.77","$1,874,308.90",VA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4411DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$2,857,922.85","$2,857,922.85","$261,143.75",NC,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4412DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$4,880,066.89","$4,880,066.89","$1,756,916.51",AK,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4413DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,280,097.08","$1,280,097.08","$1,199,520.09",MN,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4414DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,060,049.39","$1,060,049.39","$73,518.40",MS,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4415DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$5,602,735.64","$5,602,735.64","$1,591,606.32",TX,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4416DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$221,139.11","$221,139.11","$121,631.08",KS,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4417DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,496,076.00","$1,496,076.00","$144,865.64",WA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4418DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$559,692.89","$559,692.89","$547,965.98",AL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4419DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$39,289,617.05","$39,289,617.05","$13,391,992.85",NE,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4420DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$36,867,743.49","$36,867,743.49","$21,325,239.28",IA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4421DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,$0.00,$0.00,$0.00,CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4422DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$40,833.00","$40,833.00","$11,300.00",CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4423DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$9,781,401.44","$9,781,401.44","$5,244,976.54",OH,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4424DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$206,208.00","$206,208.00","$169,335.28",CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4425DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$745,163.50","$745,163.50","$141,399.75",AL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4426DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,032,033.20","$3,032,033.20","$1,121,099.24",TN,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4427DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$6,543,335.80","$6,543,335.80","$717,989.35",KY,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4428DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,231,030.24","$3,231,030.24","$403,573.46",MS,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4429DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$2,683,839.36","$2,683,839.36","$1,445,496.37",CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4431DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$4,719,022.20","$4,719,022.20","$619,584.56",OR,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4432DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$146,376.80","$146,376.80","$26,653.54",GU,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4433DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$5,079,304.55","$5,079,304.55","$2,728,582.28",CA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4434DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$7,143,133.79","$7,143,133.79","$7,079,800.50",MO,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4435DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$139,036.79","$139,036.79","$117,213.75",MT,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4437DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$9,551,866.10","$9,551,866.10","$4,958,369.80",OK,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4438DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$8,781,804.64","$8,781,804.64","$5,287,096.72",SD,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4440DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$7,399,827.03","$7,399,827.03","$3,774,876.11",AR,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4441DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$8,589,867.02","$8,589,867.02","$4,730,086.10",MN,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4442DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$292,395.76","$292,395.76",$0.00,ID,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4443DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,561,029.15","$1,561,029.15","$779,665.54",ND,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4444DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$846,745.12","$846,745.12","$203,631.09",VT,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4445DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,623,159.21","$3,623,159.21","$2,032,044.89",OH,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4447DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,331,442.05","$3,331,442.05","$3,115,960.59",KS,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4449DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,$0.00,$0.00,$0.00,MS,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4450DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$28,238,991.18","$28,238,991.18","$24,337,000.27",MO,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4451DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$556,546.00","$556,546.00","$182,022.82",OR,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4452DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$493,999.98","$493,999.98","$369,306.70",OK,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4453DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$626,336.06","$626,336.06","$120,969.72",TX,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4454DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$393,248.75","$393,248.75","$268,863.47",WV,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4455DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$28,809.00","$28,809.00","$25,764.87",NH,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4457DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$3,639,288.53","$3,639,288.53","$1,222,930.54",WI,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4459DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$840,380.09","$840,380.09","$699,139.62",AR,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4460DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$4,537,506.74","$4,537,506.74","$1,190,317.67",IL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4461DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$449,777.36","$449,777.36","$20,250.69",LA,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4462DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$1,226,742.97","$1,226,742.97","$737,329.88",SD,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4463DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$4,103,320.54","$4,103,320.54","$282,357.80",SC,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4464DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$5,102,469.67","$5,102,469.67","$655,279.83",NC,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4465DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$5,211,741.30","$5,211,741.30","$984,713.37",TX,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4466DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$161,357.81","$161,357.81","$161,357.81",SD,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4467DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$9,552,220.41","$9,552,220.41","$1,337,450.09",FL,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4468DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$2,988,996.00","$2,988,996.00","$647,562.97",SD,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4469DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$488,542.88","$488,542.88","$137,645.18",MS,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4470DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$186,467.20","$186,467.20","$133,207.79",TN,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4471DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$7,634,639.83","$7,634,639.83","$395,563.00",NY,30-Sep-23,"FEMA and SBA Funding for Michael, Florence, 2018 CA Wildfires, and Other 2018-2019 Disasters",4472DR
DHS-FEMA,Federal Emergency Management Agency,Disaster Relief Fund,N/A,MITIGATION,$0.00,"$27,121,875.18","$27,121,875.18","$390,127.15",PR,30-Sep-23,FEMA and SBA Funding 2020-2022 Disasters,4473DR
